123,1.545,58.44,1,6371936119458630270,AIS,0,0.41366372364395143,0.25826206803321838,GALEX J000608.8+582643,1.536882019608653,58.445429778901413,1,214,0,-999,-999,21.8517971,0.703959465,-999,-999,6.595999,4.275613,0.782689154,false,-99,0.00288452161,1.88158,58.26107,2011-10-31,2011-11-06,2011-11-12,55865.207488425927,55871.540821759256,55877.871331018519,AIS_29,50029,1,16,6371936119457579008,0.19556042551994324,0.42171123623847961,514,-99,-99,-999
166,1.63625,29.04,2,6376756374139832157,AIS,0,0.40262935849872955,0.32055890560150146,GALEX J000632.8+290159,1.6367798640305,29.03330552076655,1,34.2,0,-999,-999,20.4958744,0.4737764,-999,-999,22.9958515,10.0321283,0.0467460863,false,-99,0.00223710947,1.96166,28.88513,2011-11-05,2011-11-05,2011-11-05,55870.207418981481,55870.207418981481,55870.2078125,AIS_166,50166,1,12,6376756374138781696,0.6817888617515564,0.4335150420665741,2,-99,-99,-999
203,1.70125,-23.1097,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
661,2.63917,-73.2267,4,2573457680048850101,NGS,0,0.42967391915256853,0.41475895047187805,GALEX J001039.1-731329,2.663175753818265,-73.224887555044361,1,1198,0,-999,-999,12.421072,0.00103914854,-999,-999,39045.49,37.36102,0.0321543366,false,-99,0.0486526825,3.63572,-72.92181,2011-09-08,2011-09-08,2011-09-08,55812.693055555559,55812.693055555559,55812.706921296296,SMC_42159_0399,7606,7,-999,2573457680047800320,1157.634033203125,418.10064697265625,8,-99,-99,-999
661,2.63917,-73.2267,4,6384919147391753320,AIS,0,0.40197716639669867,0.413463294506073,GALEX J001038.6-731327,2.6609329516819078,-73.224368647939954,2,192,192,14.4171982,0.010008256,-999,-999,6210.44238,57.23361,-999,-999,0.0321543366,false,0.00131088868,-99,3.55030,-72.90214,2008-08-04,2008-08-27,2008-09-19,54682.400972222225,54705.484305555554,54728.619398148148,AIS_398,50398,1,11,6384919147389648896,-99,-99,0,57.692665100097656,58.094264984130859,0
661,2.63917,-73.2267,4,6384919147390697473,AIS,0,0.29075783996965321,0.4162231981754303,GALEX J001037.4-731336,2.6559608699310528,-73.226759740534632,1,192,192,-999,-999,12.269165,0.00249021128,-999,-999,44909.043,102.976982,0.0321543366,false,-99,0.056692943,3.55030,-72.90214,2008-08-04,2008-08-27,2008-09-19,54682.400972222225,54705.484305555554,54728.619398148148,AIS_398,50398,1,11,6384919147389648896,1331.4786376953125,408.262451171875,0,-99,-99,0
905,3.37875,41.0394,5,6372252782028654329,AIS,0,0.22259106187524352,0.31490281224250793,GALEX J001330.2+410210,3.37610403816416,41.036272727540933,1,202.25,202.25,-999,-999,11.1894789,0.00146921049,-999,-999,121396.992,164.233643,0.06364867,false,-99,0.0134657146,3.69586,40.83425,2006-08-07,2006-09-19,2006-10-31,53954.85375,53997.312083333331,54039.765740740739,AIS_38,50038,1,19,6372252782027603968,3599.219482421875,1121.6854248046875,2,-99,-99,0
905,3.37875,41.0394,5,6372252782029706205,AIS,0,0.25783309742457577,0.31301051378250122,GALEX J001330.7+410206,3.3781073839836711,41.035130206419318,2,202.25,202.25,13.177453,0.0053628413,-999,-999,19454.5313,96.06959,-999,-999,0.06364867,false,0.00147592474,-99,3.69586,40.83425,2006-08-07,2006-09-19,2006-10-31,53954.85375,53997.312083333331,54039.765740740739,AIS_38,50038,1,19,6372252782027603968,-99,-99,2,180.72525024414063,179.94667053222656,0
1061,3.73542,8.82278,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1185,4.08708,43.6058,7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1343,4.39292,-19.0608,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
