HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
107192, 183.857, 87.6944, 2, 14.2116, 0.00751929, 6.28, 0.35, 46.6, 237.9, 0.03
107192, 183.857, 87.6944, 2, 13.7928, 0.00824331, 6.28, 0.35, 46.6, 237.9, 0.03
108954, 187.713, 53.0642, 2, 21.831, 0.481836, 6.21, 0.54, 21.9, 11.9, -0.03
111164, 191.807, 11.9536, 2, 12.2394, 0.00589332, 6.07, 0.12, 74.6, 281.5, 0.015
111199, 191.892, -6.29611, 2, 17.0688, 0.04495, 6.26, 0.55, 66.3, 135.1, -0.035
111456, 192.157, 60.3214, 2, 15.2764, 0.0206306, 5.85, 0.46, 24.2, 256.8, 0.003
113022, 195.159, 18.3778, 3, 15.8283, 0.0253817, 0, 0, 0, 0, 0
113337, 195.462, 63.6122, 2, 15.2467, 0.0197753, 0, 0, 0, 0, 0
116568, 201.122, -5.17167, 2, 21.9938, 0.545941, 0, 0, 0, 0, 0
118646, 204.683, -29.5589, 2, 14.3346, 0.0104284, 0, 0, 0, 0, 0
118646, 204.683, -29.5589, 2, 14.5767, 0.00955967, 0, 0, 0, 0, 0
118646, 204.683, -29.5589, 2, 21.2612, 0.346478, 0, 0, 0, 0, 0
118646, 204.683, -29.5589, 2, 21.2924, 0.349935, 0, 0, 0, 0, 0
118889, 204.911, 10.7425, 2, 21.5918, 0.454673, 0, 0, 0, 0, 0
118889, 204.911, 10.7425, 2, 20.4692, 0.288161, 0, 0, 0, 0, 0
120602, 207.605, 5.48722, 3, 19.1297, 0.13061, 0, 0, 0, 0, 0
122064, 209.379, 61.4964, 3, 20.4482, 0.212225, 0, 0, 0, 0, 0
122510, 210.751, -31.6822, 2, 20.1804, 0.321236, 0, 0, 0, 0, 0
122510, 210.751, -31.6822, 2, 15.7455, 0.0248223, 0, 0, 0, 0, 0
122510, 210.751, -31.6822, 2, 15.5639, 0.0283188, 0, 0, 0, 0, 0
125111, 214.098, 39.7528, 2, 21.6216, 0.395809, 0, 0, 0, 0, 0
126141, 215.777, 25.345, 2, 14.6493, 0.0187207, 0, 0, 0, 0, 0
126141, 215.777, 25.345, 3, 14.9604, 0.0208393, 0, 0, 0, 0, 0
126943, 216.866, 41.0183, 2, 14.4288, 0.0156666, 0, 0, 0, 0, 0
127726, 218.084, 26.6917, 2, 20.3989, 0.328638, 0, 0, 0, 0, 0
127726, 218.084, 26.6917, 2, 20.7028, 0.34955, 0, 0, 0, 0, 0
127739, 218.14, 22.2586, 2, 14.2088, 0.014836, 0, 0, 0, 0, 0
127739, 218.14, 22.2586, 2, 14.3945, 0.0136831, 0, 0, 0, 0, 0
127739, 218.14, 22.2586, 2, 20.933, 0.353571, 0, 0, 0, 0, 0
127821, 217.705, 63.1911, 2, 14.8601, 0.0193502, 0, 0, 0, 0, 0
127821, 217.705, 63.1911, 2, 15.1437, 0.0182713, 0, 0, 0, 0, 0
127821, 217.705, 63.1911, 2, 21.0035, 0.355516, 0, 0, 0, 0, 0
129798, 220.495, 61.2581, 2, 21.4662, 0.385035, 0, 0, 0, 0, 0
130948, 222.564, 23.9197, 3, 16.9085, 0.0554357, 0, 0, 0, 0, 0
131156, 222.85, 19.1047, 2, 16.1762, 0.0251889, 0, 0, 0, 0, 0
133002, 222.562, 82.5122, 2, 17.7848, 0.0450189, 0, 0, 0, 0, 0
133484, 225.787, 44.6419, 2, 15.839, 0.0377293, 0, 0, 0, 0, 0
