HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
905, 3.37875, 41.0394, 2, 13.1775, 0.00536284, 5.72, 0.31, 35, 54.7, 0.034
3158, 8.60417, -52.3819, 2, 22.2732, 0.402654, 5.57, 0.47, 25.6, 39.6, -0.001
3229, 8.87958, 0.515556, 3, 24.1323, 0.389511, 5.93, 0.44, 55.6, 336.6, 0.009
3794, 10.1279, -16.5175, 3, 15.5131, 0.0209563, 6.49, 0.92, 154.3, 5597.4, -0.304
4813, 12.5337, -10.6383, 2, 16.0048, 0.0211818, 5.19, 0.5, 15.5, 9.5, -0.012
6314, 16.1542, 39.9867, 3, 13.6641, 0.0105536, 6.72, 0.31, 84.4, 307.4, 0.034
6920, 17.5754, 42.0828, 3, 16.8202, 0.0362892, 5.65, 0.6, 52.7, 302.3, -0.061
7259, 18.105, -30.8022, 2, 15.9096, 0.0268351, 6.52, 0.48, 71.2, 242.1, -0.004
9544, 23.1504, -49.7192, 3, 15.4229, 0.0172709, 6.28, 0.46, 80.6, 369.1, 0.003
9919, 24.2779, 12.1436, 2, 13.2325, 0.0062064, 5.57, 0.35, 33.8, 31, 0.03
10481, 25.3708, -38.1278, 2, 14.8818, 0.0169106, 6.17, 0.42, 41.9, 136.8, 0.015
10800, 24.4392, -82.9775, 2, 17.1679, 0.0584007, 5.87, 0.61, 27.1, 180.3, -0.067
12363, 28.9421, -78.3628, 2, 20.3592, 0.287286, 6.16, 0.44, 41.3, 142, 0.009
14802, 35.6379, -23.8108, 2, 17.0639, 0.0371385, 5.2, 0.6, 21.9, 397.1, -0.061
15524, 37.6371, 25.2453, 2, 21.3569, 0.481188, 5.92, 0.41, 51, 491.9, 0.018
16417, 39.2388, -34.5656, 2, 22.2326, 0.496467, 5.79, 0.66, 25.5, 29.5, -0.098
