uploadID,uploadRA,uploadDEC,uploadSearchID,objID,survey,specObjID,distance_arcmin,fov_radius,IAUName,ra,dec,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,spectra,fuv_fwhm_world,nuv_fwhm_world,ra_cent,dec_cent,minObsDate,meanObsDate,maxObsDate,minObsMJD,meanObsMJD,maxObsMJD,tilename,tilenum,img,subvis,photoextractid,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact
70302,125.113,-22.9328,382,6388156111770357247,AIS,0,0.456288663,0.3110349476,GALEX J082027.7-225532,125.1157862,-22.92564119,1,107,0,-999,-999,15.87499,0.0252568647,-999,-999,1621.82312,37.7183838,0.119839683,FALSE,-99,0.0296269059,124.78077,-22.88678,12/25/2011,12/25/2011,12/25/2011,55920.38088,55920.38088,55920.38212,AIS_490,50490,1,13,6388156111769305088,48.08436584,20.61374664,514,-99,-99,-999
58805,101.745,-87.0219,349,6388015393610405109,AIS,0,0.1907558255,0.4400271475,GALEX J064659.0-870130,101.7459275,-87.0250789,2,233.25,233.25,15.3938665,0.0117790923,-999,-999,2526.12817,27.399168,-999,-999,0.1343851,FALSE,0.00142718258,-99,93.27444,-87.01596,4/30/2007,5/1/2007,5/1/2007,54220.47787,54221.10287,54221.71248,AIS_486,50486,1,31,6388015393608302592,-99,-99,145,23.46677589,23.70268059,0
58805,101.745,-87.0219,349,6388015393609351251,AIS,0,0.2832978711,0.4432939291,GALEX J064714.1-870130,101.8091369,-87.02524706,1,233.25,233.25,-999,-999,12.1841192,0.00163748185,-999,-999,48568.2,73.23162,0.1343851,FALSE,-99,0.0573136844,93.27444,-87.01596,4/30/2007,5/1/2007,5/1/2007,54220.47787,54221.10287,54221.71248,AIS_486,50486,1,31,6388015393608302592,1439.966553,514.4906616,145,-99,-99,0
58805,101.745,-87.0219,349,6388015378576966274,AIS,0,0.2701248009,0.3284471333,GALEX J064646.1-870131,101.6922891,-87.02547464,1,173.05,0,-999,-999,12.16718,0.00251592323,-999,-999,49331.8945,114.286613,0.1343851,FALSE,-99,0.02105072,107.93637,-86.98561,5/16/2011,5/16/2011,5/16/2011,55697.7601,55697.7601,55697.76211,AIS_486,50486,1,17,6388015378575917056,1462.608887,512.8319092,0,-99,-99,-999
22701,62.4371,86.6294,156,6387804314221415815,AIS,0,0.3423918842,0.5215636492,GALEX J041003.0+863732,62.5127459,86.62582747,2,206.1,206.1,14.17312,0.010876853,-999,-999,7775.961,77.88028,-999,-999,0.379001468,FALSE,0.00112871721,-99,69.5474,86.9697,1/1/2006,6/30/2006,12/27/2006,53736.05213,53916.26046,54096.5295,AIS_480,50480,1,56,6387804314219315200,-99,-99,129,72.23574066,73.07991791,0
22701,62.4371,86.6294,156,6387804314220363777,AIS,0,0.3730070185,0.5251122713,GALEX J040952.2+863724,62.46786796,86.62345271,1,206.1,206.1,-999,-999,11.7904978,0.00189090287,-999,-999,69791.18,121.517807,0.379001468,FALSE,-99,0.01455599,69.5474,86.9697,1/1/2006,6/30/2006,12/27/2006,53736.05213,53916.26046,54096.5295,AIS_480,50480,1,56,6387804314219315200,2069.192871,634.4243774,129,-99,-99,0
22701,62.4371,86.6294,156,6387804299189030499,AIS,0,0.3339744125,0.3437576294,GALEX J041002.5+863733,62.51067005,86.62589946,2,210,208,14.4861345,0.0103749838,-999,-999,5828.376,55.68076,-999,-999,0.379001468,FALSE,0.001512307,-99,56.71691,86.69093,1/1/2006,6/30/2006,12/27/2006,53736.04706,53916.25539,54096.52463,AIS_480,50480,1,42,6387804299186929664,-99,-99,128,54.14340973,54.5476799,0
22701,62.4371,86.6294,156,6387804299187978582,AIS,0,0.4185447637,0.3449909389,GALEX J041006.7+863729,62.52821557,86.62493626,1,210,208,-999,-999,11.6582212,0.0019035273,-999,-999,78833.54,138.178436,0.379001468,FALSE,-99,0.0111016408,56.71691,86.69093,1/1/2006,6/30/2006,12/27/2006,53736.04706,53916.25539,54096.52463,AIS_480,50480,1,42,6387804299186929664,2337.283691,933.5947876,128,-99,-99,0
100286,173.065,-29.2686,482,6386889487261110546,AIS,0,0.3604474235,0.4775024652,GALEX J113216.0-291546,173.0670329,-29.26286027,2,108,108,16.7559776,0.0406799875,-999,-999,720.4614,26.98744,-999,-999,0.060468208,FALSE,0.00141374453,-99,173.60302,-29.16713,2/1/2007,2/1/2007,2/1/2007,54132.48622,54132.48622,54132.48747,AIS_454,50454,1,25,6386889487259009024,-99,-99,0,6.69281435,6.790822029,0
100287,173.065,-29.2686,483,6386889487261110546,AIS,0,0.3604474235,0.4775024652,GALEX J113216.0-291546,173.0670329,-29.26286027,2,108,108,16.7559776,0.0406799875,-999,-999,720.4614,26.98744,-999,-999,0.060468208,FALSE,0.00141374453,-99,173.60302,-29.16713,2/1/2007,2/1/2007,2/1/2007,54132.48622,54132.48622,54132.48747,AIS_454,50454,1,25,6386889487259009024,-99,-99,0,6.69281435,6.790822029,0
